Scene Count,CPU Non-setup Time (s),CPU Simulation Time (s)
4,0.0052482685,0.017205244
4,0.00472683,0.016024112
5,0.0052515295,0.018145504
6,0.005524324,0.016849594
6,0.0055035245,0.0170303995
8,0.0057055905,0.0176455755
9,0.005894898,0.0171664055
10,0.0057745005,0.0175464475
12,0.0069143945,0.0183008545
13,0.007366563,0.0191575455
16,0.00757981,0.019197756
18,0.008574622,0.019865562
21,0.0085438835,0.0206402355
24,0.009346623,0.0216539145
27,0.0113022715,0.2315096635
32,0.0108416765,0.042351289
36,0.011354304,0.0229612905
42,0.0141478375,0.02535552
48,0.0153762495,0.0263629795
55,0.0158499725,0.0272982235
64,0.019181781,0.031813285
73,0.022372962,0.035087852
84,0.023566586,0.0382476525
97,0.0277225335,0.0398988825
111,0.03022004,0.0421219665
128,0.0317590905,0.0437757275
147,0.036903568,0.0483483575
168,0.0430892155,0.055941128
194,0.044064545,0.057412003
222,0.052516768,0.0638655715
256,0.073113226,0.085660313
294,0.07295155,0.085370136
337,0.085660165,0.097422137
388,0.0984591985,0.1109516385
445,0.1028930425,0.115936076
512,0.1176157095,0.1294394405
588,0.133862688,0.1460026235
675,0.1542916435,0.166420984
776,0.1845853605,0.196112174
891,0.2114274525,0.2236830175
1024,0.233659181,0.2454332585
1176,0.2663585745,0.278314343
1351,0.327938319,0.33951841
1552,0.358670516,0.3789406
1782,0.4068502855,0.418838355
2048,0.4976684485,0.509424105
2352,0.5648288155,0.579993597
2702,0.654048627,0.6678211975
3104,0.7592678385,0.7716779085
3565,0.816570778,0.8282058715
4096,0.939242254,0.951408535
4705,1.1559856935,1.1681716455
5404,1.338267908,1.354902649
6208,1.530794501,1.5444856115
7131,1.636955334,1.6542232925
8192,1.869975927,1.882119164
9410,2.1402696465,2.1523280785
10809,2.6373798575,2.6500750215
12416,3.0412410345,3.053319073
14263,3.4624086595,3.476609865
16384,3.7476809465,3.759968596
18820,4.613756568,4.632947862
21618,5.296595868,5.312111085
24833,5.7859117545,5.8038039475
28526,7.0623400735,7.077552052
32768,7.5107387645,7.525315279
37640,8.67103055,8.683601047
43237,10.5724158255,10.584514388
49667,11.4273548975,11.440026135
57052,13.8146576785,13.827903829
65536,14.0246318875,14.0368489035
75281,17.5188644915,17.5317136035
86475,19.7836280145,19.7996076495
