scene count,release_cuda simulation time,release_cuda total time
4,9052403,76562193
4,8898171,63681920
5,9017407,72936995
6,9022895,68757493
6,8906617,65615767
8,10916587,69440761
9,8959747,62850652
10,8841474,61640480
12,8851924,61367305
13,8762356,70176208
16,9048615,62487958
18,8941043,69420424
21,8917577,59513449
24,8974746,77167864
27,9044608,75889554
32,8929079,63388517
36,10702795,69672860
42,8785889,61114348
48,8941863,67355899
55,8928158,64701524
64,8926556,67489492
73,8925101,60241823
84,8979576,70844529
97,8897490,61467775
111,8965588,72945320
128,9144536,69600232
147,8897539,62569823
168,8873605,65871170
194,8907107,61651821
222,8876411,70207568
256,8963224,64108766
294,11073364,69554055
337,8948326,61298687
388,8947335,68096637
445,8891169,64976252
512,8934659,73724590
588,10768679,71054455
675,8907740,62847347
776,8868957,66265554
891,8933527,61876305
1024,8880709,71282655
1176,9124028,64801322
1351,10619168,69796362
1552,8953526,62485344
1782,8949840,69199527
2048,8983463,63259003
2352,8911756,73928714
2702,8899414,71389757
3104,8923599,62351963
3565,8933519,67969377
4096,8942646,62798245
4705,8963465,68528722
5404,8966591,65268834
6208,11831313,70405221
7131,8027419,62132448
8192,9105492,69555948
9410,9282626,65282198
10809,11213858,68771949
12416,11378288,63743907
14263,11334726,69770171
16384,11710094,66444540
18820,12081335,69610111
21618,15922819,76398283
24833,18120174,78011174
28526,18172242,77654342
32768,18415621,77916997
37640,18820945,76834205
43237,22670045,77513646
49667,24207294,80336681
57052,23614655,86474756
65536,28634223,86751348
75281,31063304,91866235
86475,35303681,101267896
