Scene Count,CUDA Kernel Time (s),CUDA Simulation Time (s)
5,0.0088784355,0.0775331015
6,0.010313428,0.067691915
8,0.008772611,0.063075699
9,0.008797864,0.064283328
11,0.0088400275,0.065705814
13,0.00893668,0.0664906505
16,0.009023985,0.0662085175
19,0.0089055475,0.2877327975
22,0.00908215,0.063524711
26,0.0088862805,0.062522245
32,0.0090056055,0.067094308
38,0.0088999925,0.0645883835
45,0.0089302135,0.066157631
53,0.0088941865,0.0661594715
64,0.0088127915,0.0659702375
76,0.008942732,0.0665268945
90,0.009072497,0.0668343095
107,0.008912976,0.0638975785
128,0.0089018545,0.0664245155
152,0.008879538,0.062273911
181,0.008905653,0.064718369
215,0.0088413555,0.068227555
256,0.0088890515,0.066646565
304,0.0089210705,0.062728239
362,0.00898369,0.0693657785
430,0.0088860545,0.0614668195
512,0.0088540355,0.0692726575
608,0.0088095565,0.0607766335
724,0.009099949,0.0663914835
861,0.008941691,0.064745468
1024,0.0103295875,0.0694574555
1217,0.008852021,0.0637159915
1448,0.0092161475,0.066080642
1722,0.0089822965,0.0659948545
2048,0.0089028865,0.0650971015
2435,0.0089388745,0.0679062055
2896,0.008876582,0.0633579165
3444,0.0089278845,0.066510126
4096,0.008858768,0.0643707565
4870,0.0089663115,0.065795633
5792,0.009027577,0.066972645
6888,0.009400134,0.06735255
8192,0.0087027645,0.0652472755
9741,0.0094299455,0.0688992815
11585,0.0118197145,0.0713140075
13777,0.0108989215,0.0643184835
16384,0.0123620115,0.0687836555
19483,0.0121804285,0.0683194295
23170,0.0169621725,0.0693984
27554,0.017636745,0.074489528
32768,0.0184675325,0.07655097
38967,0.0198487375,0.0788900615
46340,0.0257950425,0.081320577
55108,0.0249048745,0.0814120945
65536,0.0282597465,0.090087356
77935,0.0308073065,0.093895123
92681,0.03527064,0.100167419
110217,0.0412452935,0.104460856
131072,0.0492149765,0.118073178
155871,0.0571249805,0.1217208525
185363,0.0660199525,0.1416861245
220435,0.077252954,0.149681539
262144,0.08895509,0.168786763
311743,0.104651616,0.1910982015
370727,0.124199997,0.220051406
440871,0.147183367,0.2547078265
524288,0.1726574395,0.2839641845
623487,0.2044170025,0.315847359
741455,0.243072842,0.388317874
881743,0.333809461,0.443087473
1048576,0.339013052,0.599196541
1246974,0.4228060225,0.7437585765
1482910,0.4734366535,0.842458805
