scene count,release_cuda simulation time,release_cuda total time
4,1095775216,1162777001
4,1088308531,1140218540
5,1031827859,1083004916
6,1026970138,1085148420
6,996289023,1054251389
8,1072419108,1125070054
9,1074482962,1126556269
10,1083434788,1134535430
12,1173525125,1226779930
13,1215746320,1267857087
16,1281086380,1339767331
18,1390795556,1441485263
21,1477722909,1529162309
24,1559915030,1613132444
27,1619660287,1674292160
32,1677284003,1731338387
36,1717069672,1768497010
42,1763329523,1840200555
48,1828745888,1880380046
55,1952342890,2003029551
64,2122159158,2174391604
73,2216215166,2268032170
84,2375047284,2432985784
97,2658986011,2716733441
111,2808204653,2861472212
128,3142039832,3200167538
147,3441630012,3494080440
168,3793275828,3852282724
194,4293810943,4355589998
222,4772012160,4823223952
256,5413232814,5472060051
294,5415148477,5467944989
337,5413137183,5468928123
388,5425300178,5477771976
445,5439108895,5492218636
512,5460084140,5512378854
588,5460491879,5512375828
675,5459532790,5512648122
776,5461063357,5512723444
891,5465207566,5518051445
1024,5466284476,5524454823
1176,5469049452,5527348753
1351,5470295271,5564185077
1552,5469991929,5523229802
1782,5469054671,5520658572
2048,5470059686,5523129833
2352,5478324847,5536975481
2702,5487623840,5541454661
3104,5508845499,5567704806
3565,5521474852,5575821868
4096,5551587804,5621268454
4705,5599356442,5661345883
5404,5685709722,5744309619
6208,5936882832,5999170646
7131,6625231243,6688521198
8192,7688095177,7751524746
9410,9754438628,9822447575
10809,11511916714,11587918997
12416,14317441863,14388520410
14263,15850946354,15932146271
16384,18839389924,18924075988
18820,22032805848,22130331693
21618,28299150911,28395062550
24833,33311456310,33422209552
28526,33557893702,33667612994
32768,37138562025,37253499590
37640,43808297777,43919295238
43237,55623076326,55731821770
49667,58969983014,59180044067
57052,65893219599,66133484585
65536,81757252761,82026015214
75281,87723796314,88037140455
86475,107162091325,107536598250
