Scene Count,CUDA Kernel Time (s),CUDA Simulation Time (s)
4,1.1048919995,1.376300917
4,1.092565257,1.1453413065
5,1.0323309685,1.0843458015
6,1.0209230945,1.0794198895
6,1.0096691715,1.064551183
8,1.072028031,1.1245410185
9,1.0780188475,1.130345203
10,1.084429966,1.137072162
12,1.1787009425,1.4449119505
13,1.220163857,1.2754604455
16,1.2840115255,1.3405822725
18,1.391279555,1.445165002
21,1.480246067,1.5348230575
24,1.559031449,1.6116808335
27,1.6194158895,1.673087929
32,1.67669375,1.733030145
36,1.7182180145,1.769447061
42,1.764458776,1.8295876055
48,1.8328734295,1.8844642175
55,1.958999086,2.011945932
64,2.11924192,2.1713855005
73,2.212275082,2.264752398
84,2.3660738,2.4243667555
97,2.648508244,2.7109757
111,2.7965925965,2.849297176
128,3.1302120695,3.191359885
147,3.4339928445,3.487753841
168,3.793059956,3.849323258
194,4.2944755735,4.354336422
222,4.771790771,4.8234382165
256,5.4133283085,5.472120291
294,5.415262236,5.471232461
337,5.4121451155,5.468176225
388,5.4291478595,5.4824285005
445,5.4400164265,5.496668336
512,5.459965151,5.5127461245
588,5.4610007,5.5137173715
675,5.4588383455,5.5115962505
776,5.459562161,5.515706153
891,5.4660119085,5.5215052425
1024,5.468059133,5.5232806645
1176,5.4688724345,5.527982478
1351,5.4698379095,5.5445473725
1552,5.470027202,5.526179329
1782,5.4702459445,5.5266286315
2048,5.4713801235,5.52450214
2352,5.4745197455,5.5302656925
2702,5.486925218,5.540868989
3104,5.5049900035,5.566139413
3565,5.518916078,5.575627411
4096,5.553036251,5.6187898005
4705,5.600334728,5.663348419
5404,5.692441525,5.7542555225
6208,5.9392701245,6.0064709095
7131,6.6240156115,6.6873348795
8192,7.686618104,7.7526641255
9410,9.7640630035,9.8323038955
10809,11.5140739525,11.5905854045
12416,14.3388931835,14.410231574
14263,15.8603599225,15.9408883065
16384,18.8452565945,18.9308542275
18820,21.8812294005,21.979033829
21618,28.280161581,28.37651906
24833,33.313764167,33.423039467
28526,33.588106767,33.698885639
32768,37.2256247875,37.340468647
37640,43.635341084,43.746058995
43237,55.6233841375,55.733428904
49667,58.989148754,59.1975496725
57052,65.972961934,66.2120131615
65536,82.911269582,83.180734454
75281,87.657075994,87.9709149455
86475,107.1436156875,107.5154484755
