Scene Count,CUDA Kernel Time (s),CUDA Simulation Time (s)
4,0.60777281,0.607814078
4,0.6001735915,0.6002139875
5,0.674951017,0.6749938235
6,0.6929725145,0.693016953
6,0.693310011,0.6933495705
8,0.6870702565,0.687173145
9,0.703970223,0.704070863
10,0.7077277505,0.707825851
12,0.7285787395,0.7286980045
13,0.736444021,0.7365431235
16,0.765211868,0.7653138755
18,0.790567328,0.790669576
21,0.860397008,0.8605013745
24,0.8708908745,0.8709945395
27,0.89076435,0.891569062
32,0.902488428,0.902587685
36,0.909443933,0.909624664
42,0.917600543,0.9177006865
48,0.927546643,0.9276527775
55,0.9485046425,0.9486082685
64,0.96610684,0.9662064935
73,1.012270105,1.0123675185
84,1.0239640805,1.0240678365
97,1.084481705,1.084589594
111,1.125357365,1.1254632145
128,1.1833811595,1.183494924
147,1.282868551,1.282989685
168,1.368275266,1.3683891255
194,1.481741471,1.481854599
222,1.585222847,1.5853339715
256,1.70693421,1.70704823
294,1.7100991445,1.710220053
337,1.71301765,1.7131409465
388,1.7348857355,1.7350123695
445,1.758439179,1.7585637695
512,1.771859888,1.771978126
588,1.7848361585,1.7849679975
675,1.794758004,1.794881547
776,1.8098304615,1.8100002765
891,1.8235824765,1.823752252
1024,1.8452164785,1.8453895095
1176,1.8534536845,1.853640176
1351,1.869412387,1.8695911345
1552,1.873953195,1.8741469755
1782,1.8695239055,1.86969073
2048,1.880896777,1.881080979
2352,1.8882881785,1.8884707475
2702,1.900066025,1.9002504685
3104,1.9054115515,1.905646159
3565,1.9258485805,1.9261135355
4096,1.9542230695,1.954471278
4705,1.998808387,1.999055543
5404,2.079223595,2.0794714085
6208,2.2209366655,2.221204861
7131,2.5020929065,2.502349456
8192,2.9328806885,2.93315186
9410,3.491296608,3.4915851425
10809,4.186742038,4.1870345945
12416,5.0923183565,5.092627329
14263,6.2346390285,6.2349588015
16384,7.5573608985,7.557688923
18820,9.206789922,9.2071369365
21618,11.758377252,11.7587532355
24833,12.602383238,12.602756672
28526,13.042208278,13.042625073
32768,15.058272201,15.0609612075
37640,17.60633774,17.6104720585
43237,21.8856164895,21.912709188
49667,22.9171002685,22.956289116
57052,27.0060230165,27.0562978035
65536,33.032334568,33.171600973
75281,35.175298348,35.3510709755
86475,43.278383926,43.4890732045
