scene count,release_cuda simulation time,release_cuda total time
4,796728031,796764330
4,791140390,791179945
5,884426005,884462393
6,996631667,996671933
6,997254093,997293026
8,1030779334,1030876377
9,1061403102,1061504163
10,1075631263,1075724870
12,1134110698,1134214844
13,1154997399,1155098880
16,1237786121,1237887292
18,1303013905,1303110407
21,1315653989,1315763436
24,1417751927,1417853138
27,1481329538,1481429266
32,1511192471,1511289775
36,1538466490,1538562932
42,1559487475,1559589116
48,1574524860,1574625190
55,1600572948,1600670712
64,1657666017,1657760255
73,1707719659,1707822963
84,1731703882,1731802468
97,1795398907,1795496881
111,1828828868,1828930249
128,1910222028,1910334211
147,1995109259,1995224496
168,2112143593,2112259031
194,2215760037,2215872038
222,2311240985,2311363525
256,2410718582,2410836484
294,2402417042,2402533091
337,2404584111,2404693788
388,2450587753,2450699004
445,2499868439,2499980790
512,2509680036,2509794161
588,2534334479,2534448565
675,2549781535,2549890000
776,2571777154,2571952084
891,2596438881,2596598984
1024,2626982513,2627157122
1176,2667840783,2668028336
1351,2691086838,2691274873
1552,2745423991,2745611264
1782,2777863668,2778046604
2048,2811886373,2812070220
2352,2839722509,2839910754
2702,2861506779,2861694954
3104,2881651075,2881886669
3565,2913608152,2913860108
4096,2965521945,2965758782
4705,3051740612,3051990944
5404,3216221832,3216471723
6208,3522214650,3522463800
7131,4023653337,4023930840
8192,4707905989,4708170658
9410,5648031694,5648318144
10809,6795382584,6795673262
12416,8252113963,8252436481
14263,9720038004,9720343340
16384,11592811502,11593150622
18820,13582388075,13582727546
21618,17217524761,17217903266
24833,18235742898,18236118646
28526,19620524114,19620928757
32768,22391020026,22395136139
37640,26390621624,26394745452
43237,32734495056,32738630046
49667,34715510014,34720712355
57052,42229709432,42327683948
65536,46273877827,46367177477
75281,53265557613,53425024099
86475,66223893924,66443672825
