Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.7927626503333334,0.7927999743333334
4,0.7896383303333334,0.7896765493333334
5,0.8846878953333334,0.8847252456666667
6,0.9993189856666667,0.9993571413333334
6,1.0084050933333333,1.0084449113333334
8,1.028244645,1.0283458893333333
9,1.060466248,1.0605666206666666
10,1.074019257,1.0741165903333332
12,1.1311040706666668,1.1312052046666667
13,1.1531133476666668,1.1532131556666667
16,1.234765627,1.2348658786666666
18,1.287027239,1.2871265763333333
21,1.3124839346666668,1.3125845813333332
24,1.4158092293333333,1.4159093416666668
27,1.481356538,1.481457605
32,1.5110320393333332,1.5111321116666667
36,1.5379086256666668,1.5380081866666668
42,1.5540213663333333,1.5541205196666668
48,1.5676311543333332,1.567732766
55,1.59023872,1.5903408623333333
64,1.6408055076666668,1.640902003
73,1.6837003543333333,1.683802717
84,1.719497468,1.7195958406666667
97,1.7889864693333333,1.78908771
111,1.831169376,1.8312729913333332
128,1.89982453,1.8999441293333332
147,1.987564058,1.9876776686666668
168,2.097365272333333,2.0974803223333334
194,2.2024672293333336,2.2025824133333334
222,2.2979370273333335,2.2980559946666665
256,2.4113485486666666,2.4114646803333333
294,2.4112087173333334,2.4113242016666665
337,2.4140841246666667,2.4141956886666667
388,2.4621032226666664,2.462221012
445,2.5050927753333334,2.505207912
512,2.5231957986666664,2.523316917
588,2.5422167266666666,2.542338924
675,2.5593205526666667,2.559431332
776,2.583520614,2.5836974613333337
891,2.6075684786666664,2.6077365626666666
1024,2.638520639,2.638688783
1176,2.675987504,2.6761694436666663
1351,2.7012579003333337,2.701430232
1552,2.7585658083333335,2.7587519693333333
1782,2.7870122396666663,2.7877905813333337
2048,2.814664034,2.814848081
2352,2.8404922733333335,2.8406754923333333
2702,2.8599325696666664,2.8601195463333333
3104,2.8811716283333335,2.8814113403333335
3565,2.9126085126666665,2.9128537853333336
4096,2.966019758,2.966264523
4705,3.0845343046666667,3.1323708723333334
5404,3.2167501516666666,3.2170012986666663
6208,3.5148493823333333,3.5151039926666665
7131,4.027644127666666,4.027909504666667
8192,4.713001529666667,4.713274912
9410,5.645901329666667,5.646181418
10809,6.793030818666667,6.793313835333333
12416,8.247382600666667,8.247699071333333
14263,9.715430494,9.715740752333334
16384,11.594573229333333,11.594906818666667
18820,13.586387714,13.58673194
21618,17.174123768333335,17.174488857333333
24833,18.808525352333334,18.80890997766667
28526,20.009566578,20.00998116666667
32768,23.26397860133333,23.26692218033333
37640,27.620497418333333,27.62497474266667
43237,34.07342951333333,34.077606675666665
49667,35.20070966233334,35.205203942
57052,41.72558593066666,41.792672323666665
65536,49.006285152333334,49.118359422666664
75281,54.440776804,54.604796496
86475,67.81769867433334,68.03693039366667
