scene count,release_cuda simulation time,release_cuda total time
4,1301025592,1364692391
4,1294788876,1347970675
5,1296654988,1349934190
6,1363858958,1417842970
6,1395289443,1452040255
8,1487271029,1545249155
9,1558683309,1612593993
10,1587645597,1646441087
12,1692542297,1743824502
13,1790001165,1849020938
16,1874573392,1927945981
18,1963919286,2017943013
21,2051386484,2108738780
24,2140224640,2201036282
27,2206269193,2261050069
32,2298482717,2353234587
36,2331181032,2397631292
42,2367206516,2427683587
48,2422966889,2476475104
55,2512454679,2564990689
64,2680803143,2737129724
73,2759572092,2812486655
84,2877093477,2945113128
97,3127869333,3181625955
111,3273191015,3332422898
128,3750348652,3808876747
147,4013891923,4072900934
168,4383335536,4441520413
194,4785689650,4838894733
222,5393934181,5448386173
256,5962268471,6015331348
294,5893282702,5948223359
337,5677471034,5732308024
388,5809560058,5864497218
445,5685828993,5739178813
512,5734670791,5793527151
588,5735476565,5793335378
675,5757020620,5815670900
776,5769379974,5827580933
891,5780072756,5840121679
1024,5893318551,5949590385
1176,5793792952,5848539261
1351,5876426308,5935352529
1552,5873485790,5931567015
1782,5807919437,5868251526
2048,5823245488,5878731397
2352,5843099680,5902582883
2702,5859380956,5916546840
3104,5898405947,5961862543
3565,5926809069,5989757784
4096,5997060810,6058281948
4705,6122829898,6182749265
5404,6309863195,6372723474
6208,6739344847,6812507920
7131,7470997285,7543623844
8192,8599091066,8663656658
9410,10628947282,10699424699
10809,11830490730,11909022542
12416,14339523798,14443746596
14263,16295593214,16374577031
16384,19563372257,19647066367
18820,23174941536,23273103057
21618,29327634365,29425311454
24833,32785276798,32893281980
28526,36915371634,37032827944
32768,40350839331,40465755276
37640,46322130540,46430894553
43237,57618340019,57730780151
49667,60649164702,60858501169
57052,70062614215,70305834507
65536,85277812583,85559415618
75281,98239176384,98555962173
86475,113455573146,113808109212
