Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,1.3239142793333332,1.4297858073333332
4,1.3060261983333332,1.359838162
5,1.34365453,1.3981221276666667
6,1.373369435,1.4266297376666668
6,1.3876343513333333,1.4440716286666668
8,1.4843280753333332,1.5394098873333333
9,1.5558119593333333,1.612311612
10,1.602044732,1.659352766
12,1.6928028086666667,1.7462637906666667
13,1.8357836576666668,1.8933101873333333
16,1.9789652496666668,2.041684162666667
18,2.0814089166666667,2.138869906
21,2.174578492,2.234411858
24,2.266430571,2.3269742836666665
27,2.3392478716666667,2.3953858413333333
32,2.408035801,2.4643087623333333
36,2.370839406,2.4306748236666667
42,2.4044073866666666,2.4624148896666664
48,2.4893870276666665,2.5429921756666665
55,2.5359243576666666,2.589635655
64,2.8558335883333337,2.9133339086666665
73,2.9416355226666666,3.132683581
84,3.0758250163333334,3.138629214
97,3.2888930873333333,3.3533682616666667
111,3.4220074143333337,3.4811879716666665
128,3.801334051,3.865618517
147,4.082285807,4.139229178666667
168,4.289598437333334,4.344437906666667
194,4.708330089666667,4.764000694666667
222,5.233318605666667,5.291381590666667
256,5.823248177,5.879168675666667
294,5.749063297,5.805822732333333
337,5.707851239666667,5.765393859666667
388,5.770546231666667,5.824686345
445,5.744119482666667,5.7990587683333334
512,5.732236994,5.796846469666667
588,5.779335933333333,5.835051439333333
675,5.829460465666667,5.886496430333333
776,5.809569967666667,5.866688227
891,5.798539464,5.854180880333333
1024,5.894568583333333,5.951511093333333
1176,5.798647396666667,5.854679538333333
1351,5.918423651333333,5.975649275666667
1552,5.927995845,5.996612052333333
1782,5.841643719333333,5.901732576
2048,5.885215990666667,5.943456324333333
2352,5.947531414333333,6.005351271666667
2702,5.940456993333333,6.00124895
3104,5.950238382,6.013084645666667
3565,5.993364628,6.057996944333333
4096,6.019391299333333,6.082521035666667
4705,6.121939369,6.187685846
5404,6.322499826666667,6.387588835333333
6208,6.793711442666667,6.866511947666667
7131,7.318117495666667,7.387832986
8192,8.44943812,8.516009120333333
9410,10.056007860666666,10.126226007
10809,11.86795812,11.944512999
12416,14.872810231333334,14.958777505333334
14263,17.14799783,17.228371487
16384,19.427435942,19.510696406
18820,22.753411033,22.848204775333333
21618,29.641036424,29.739188523333333
24833,34.31545586,34.426190305333336
28526,35.545193449,35.66067578133334
32768,39.87844629133333,39.993230686666664
37640,45.906755308,46.01593886166666
43237,57.445009008666666,57.556811898666666
49667,61.528333325333335,61.70588783466666
57052,70.00880695133333,70.25074506933333
65536,85.39212004233333,85.67270301733333
75281,94.532477466,94.849860242
86475,112.976596009,113.33553887566667
